angle,Velocidade,Tempo
100,-30.32,24.05
107,-29.74,24.08
107,-29.74,24.08
115,-29.90,24.11
115,-29.90,24.11
122,-32.80,24.15
122,-32.80,24.15
129,-32.01,24.18
129,-32.01,24.18
135,-31.11,24.22
135,-31.11,24.22
141,-33.63,24.25
141,-33.63,24.25
149,-32.86,24.29
149,-32.86,24.29
157,-30.85,24.33
157,-30.85,24.33
162,-30.28,24.36
162,-30.28,24.36
168,-31.75,24.40
168,-31.75,24.40
177,-32.19,24.43
177,-32.19,24.43
182,-31.28,24.47
182,-31.28,24.47
188,-31.36,24.50
188,-31.36,24.50
195,-31.11,24.53
195,-31.11,24.53
200,-31.05,24.57
200,-31.05,24.57
206,-32.09,24.60
206,-32.09,24.60
215,-31.55,24.64
215,-31.55,24.64
221,-31.84,24.67
221,-31.84,24.67
226,-29.91,24.71
226,-29.91,24.71
234,-31.04,24.75
234,-31.04,24.75
240,-33.75,24.78
240,-33.75,24.78
247,-32.61,204.82
247,-32.61,204.82
0,0.85,0.85
0,0.85,0.85
262,-30.39,24.89
262,-30.39,24.89
268,-32.89,24.92
268,-32.89,24.92
276,-32.93,24.95
276,-32.93,24.95
283,-33.25,24.99
283,-33.25,24.99
289,-34.26,25.02
289,-34.26,25.02
299,-34.78,25.06
299,-34.78,25.06
305,-32.40,25.09
305,-32.40,25.09
311,-33.40,25.13
311,-33.40,25.13
319,-33.63,25.17
319,-33.63,25.17
325,-32.21,25.20
325,-32.21,25.20
331,-32.80,25.24
331,-32.80,25.24
341,-32.80,25.27
341,-32.80,25.27
346,-32.86,25.31
346,-32.86,25.31
352,-31.21,25.34
352,-31.21,25.34
359,-32.13,25.37
359,-32.13,25.37
5,-33.04,20.00
5,-33.04,20.00
11,-32.91,25.44
11,-32.91,25.44
17,-32.94,25.48
17,-32.94,25.48
27,-33.04,25.51
27,-33.04,25.51
33,-34.16,25.55
33,-34.16,25.55
38,-32.92,25.58
38,-32.92,25.58
44,-33.35,25.61
44,-33.35,25.61
53,-34.44,25.65
53,-34.44,25.65
59,-35.06,25.68
59,-35.06,25.68
67,-33.00,25.72
67,-33.00,25.72
72,-32.94,25.75
72,-32.94,25.75
82,-34.96,25.78
82,-34.96,25.78
89,-35.60,25.82
89,-35.60,25.82
95,-33.51,25.85
95,-33.51,25.85
104,-32.84,25.89
104,-32.84,25.89
110,-34.90,25.92
110,-34.90,25.92
117,-36.35,25.95
117,-36.35,25.95
124,-32.76,25.99
124,-32.76,25.99
134,-32.79,26.02
134,-32.79,26.02
140,-35.71,26.06
140,-35.71,26.06
149,-35.33,26.09
149,-35.33,26.09
155,-35.18,26.13
155,-35.18,26.13
163,-34.20,26.17
163,-34.20,26.17
171,-33.41,26.20
171,-33.41,26.20
177,-33.59,26.24
177,-33.59,26.24
183,-33.12,26.27
183,-33.12,26.27
189,-33.66,26.31
189,-33.66,26.31
197,-34.08,26.34
197,-34.08,26.34
205,-34.85,26.37
205,-34.85,26.37
209,-33.03,26.41
209,-33.03,26.41
217,-34.54,26.44
217,-34.54,26.44
225,-35.29,26.48
225,-35.29,26.48
231,-31.58,26.51
231,-31.58,26.51
239,-35.97,26.55
239,-35.97,26.55
248,-35.02,26.58
248,-35.02,26.58
254,-33.61,26.62
254,-33.61,26.62
256,-32.39,26.66
256,-32.39,26.66
269,-34.01,26.69
269,-34.01,26.69
279,-34.26,26.73
279,-34.26,26.73
286,-34.23,26.76
286,-34.23,26.76
293,-35.82,26.80
293,-35.82,26.80
299,-35.20,26.83
299,-35.20,26.83
308,-34.50,206.86
308,-34.50,206.86
0,0.90,0.90
0,0.90,0.90
325,-35.15,26.93
325,-35.15,26.93
331,-34.88,26.97
331,-34.88,26.97
337,-34.79,27.00
337,-34.79,27.00
343,-33.82,27.04
343,-33.82,27.04
351,-34.02,27.08
351,-34.02,27.08
357,-33.99,27.11
357,-33.99,27.11
7,-35.60,27.15
7,-35.60,27.15
9,-34.95,27.18
9,-34.95,27.18
9,-34.95,27.21
9,-34.95,27.21
9,-34.95,27.24
9,-34.95,27.24
32,-36.74,27.28
32,-36.74,27.28
41,-36.52,27.31
41,-36.52,27.31
41,-36.52,27.31
0,0.00,0.00
0,0.00,0.00
54,-35.35,27.38
54,-35.35,27.38
60,-35.97,27.41
60,-35.97,27.41
71,-37.33,27.45
71,-37.33,27.45
78,-36.57,27.48
78,-36.57,27.48
85,-35.81,27.51
85,-35.81,27.51
92,-38.42,27.55
92,-38.42,27.55
101,-37.98,27.58
101,-37.98,27.58
108,-36.45,27.62
108,-36.45,27.62
115,-36.43,27.65
115,-36.43,27.65
120,-38.37,27.69
120,-38.37,27.69
134,-38.21,27.72
134,-38.21,27.72
139,-38.55,27.76
139,-38.55,27.76
139,-38.55,27.79
139,-38.55,27.79
156,-34.92,27.83
156,-34.92,27.83
163,-35.97,27.86
163,-35.97,27.86
171,-36.55,27.90
171,-36.55,27.90
180,-37.74,27.93
180,-37.74,27.93
186,-38.07,27.97
186,-38.07,27.97
195,-37.21,28.00
195,-37.21,28.00
199,-37.14,28.04
199,-37.14,28.04
208,-36.94,28.07
208,-36.94,28.07
215,-38.31,28.11
215,-38.31,28.11
226,-37.56,28.14
226,-37.56,28.14
233,-38.37,28.18
233,-38.37,28.18
242,-37.46,28.21
242,-37.46,28.21
248,-36.54,28.25
248,-36.54,28.25
256,-38.17,28.28
256,-38.17,28.28
268,-38.62,28.32
268,-38.62,28.32
270,-38.73,28.35
270,-38.73,28.35
282,-38.30,28.39
282,-38.30,28.39
291,-41.61,20.00
291,-41.61,20.00
299,-40.22,20.00
299,-40.22,20.00
311,-40.07,280.00
